alertNumber,status,disposition,ruleId,severity,securitySeverity,path,startLine,owner,notes,htmlUrl,lastSeenOpenAt
14,deferred,needs-review,js/sensitive-get-query,warning,medium,middleware/healthDataAccess.js,129,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/14,2026-06-16T17:33:00.871Z
15,deferred,needs-review,js/sensitive-get-query,warning,medium,middleware/healthDataAccess.js,164,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/15,2026-06-16T17:33:00.871Z
16,deferred,needs-review,js/sensitive-get-query,warning,medium,middleware/healthDataAccess.js,402,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/16,2026-06-16T17:33:00.871Z
17,deferred,needs-review,js/xss-through-dom,warning,high,client/public/js/landing.js,68,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/17,2026-06-16T17:33:00.871Z
18,deferred,needs-review,js/xss-through-dom,warning,high,client/public/js/patient-clinical-history-form.js,304,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/18,2026-06-16T17:33:00.871Z
19,deferred,needs-review,js/xss-through-dom,warning,high,client/public/js/patient-analytics.js,44,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/19,2026-06-16T17:33:00.871Z
20,deferred,needs-review,js/missing-rate-limiting,warning,high,routes/analytics.js,14,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/20,2026-06-16T17:33:00.871Z
21,deferred,needs-review,js/missing-rate-limiting,warning,high,routes/analytics.js,14,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/21,2026-06-16T17:33:00.871Z
22,deferred,needs-review,js/missing-rate-limiting,warning,high,routes/analytics.js,14,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/22,2026-06-16T17:33:00.871Z
23,deferred,needs-review,js/missing-rate-limiting,warning,high,routes/analytics.js,40,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/23,2026-06-16T17:33:00.871Z
24,deferred,needs-review,js/missing-rate-limiting,warning,high,routes/analytics.js,40,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/24,2026-06-16T17:33:00.871Z
25,deferred,needs-review,js/missing-rate-limiting,warning,high,routes/analytics.js,40,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/25,2026-06-16T17:33:00.871Z
26,deferred,needs-review,js/missing-rate-limiting,warning,high,routes/analytics.js,136,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/26,2026-06-16T17:33:00.871Z
27,deferred,needs-review,js/missing-rate-limiting,warning,high,routes/analytics.js,136,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/27,2026-06-16T17:33:00.871Z
28,deferred,needs-review,js/missing-rate-limiting,warning,high,routes/analytics.js,136,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/28,2026-06-16T17:33:00.871Z
29,deferred,needs-review,js/missing-rate-limiting,warning,high,routes/analytics.js,161,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/29,2026-06-16T17:33:00.871Z
30,deferred,needs-review,js/missing-rate-limiting,warning,high,routes/analytics.js,161,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/30,2026-06-16T17:33:00.871Z
31,deferred,needs-review,js/missing-rate-limiting,warning,high,routes/analytics.js,274,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/31,2026-06-16T17:33:00.871Z
32,deferred,needs-review,js/missing-rate-limiting,warning,high,routes/analytics.js,274,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/32,2026-06-16T17:33:00.871Z
33,deferred,needs-review,js/missing-rate-limiting,warning,high,routes/analytics.js,274,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/33,2026-06-16T17:33:00.871Z
34,deferred,needs-review,js/missing-rate-limiting,warning,high,routes/duties-paginated-example.js,173,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/34,2026-06-16T17:33:00.871Z
35,deferred,needs-review,js/missing-rate-limiting,warning,high,services/patient-booking-service/src/api/routes/bookings.js,12,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/35,2026-06-16T17:33:00.871Z
36,deferred,needs-review,js/missing-rate-limiting,warning,high,services/patient-booking-service/src/api/routes/patients.js,16,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/36,2026-06-16T17:33:00.871Z
37,deferred,needs-review,js/missing-rate-limiting,warning,high,services/patient-booking-service/src/api/routes/patients.js,19,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/37,2026-06-16T17:33:00.871Z
38,deferred,needs-review,js/missing-rate-limiting,warning,high,services/patient-booking-service/src/api/routes/patients.js,26,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/38,2026-06-16T17:33:00.871Z
39,deferred,needs-review,js/missing-rate-limiting,warning,high,services/patient-booking-service/src/api/routes/patients.js,29,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/39,2026-06-16T17:33:00.871Z
40,deferred,needs-review,js/missing-rate-limiting,warning,high,services/patient-booking-service/src/api/routes/patients.js,32,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/40,2026-06-16T17:33:00.871Z
41,deferred,needs-review,js/missing-rate-limiting,warning,high,services/patient-booking-service/src/api/routes/patients.js,35,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/41,2026-06-16T17:33:00.871Z
42,deferred,needs-review,js/missing-rate-limiting,warning,high,services/patient-booking-service/src/api/routes/patients.js,38,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/42,2026-06-16T17:33:00.871Z
43,deferred,needs-review,js/missing-rate-limiting,warning,high,tests/unit/infrastructure/query-cache.test.js,52,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/43,2026-06-16T17:33:00.871Z
44,deferred,needs-review,js/resource-exhaustion,warning,high,utils/securityMonitor.js,292,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/44,2026-06-16T17:33:00.871Z
45,deferred,needs-review,js/insufficient-password-hash,warning,high,middleware/idempotency.js,9,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/45,2026-06-16T17:33:00.871Z
46,deferred,needs-review,js/regex-injection,error,high,routes/duties-paginated-example.js,120,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/46,2026-06-16T17:33:00.871Z
47,deferred,needs-review,js/regex-injection,error,high,services/patient-booking-service/src/services/serviceCatalogService.js,125,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/47,2026-06-16T17:33:00.871Z
48,deferred,needs-review,js/regex-injection,error,high,utils/pagination.js,112,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/48,2026-06-16T17:33:00.871Z
49,deferred,needs-review,js/sql-injection,error,high,routes/reviews.js,94,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/49,2026-06-16T17:33:00.871Z
50,deferred,needs-review,js/sql-injection,error,high,routes/payments.js,68,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/50,2026-06-16T17:33:00.871Z
51,deferred,needs-review,js/sql-injection,error,high,routes/payments.js,77,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/51,2026-06-16T17:33:00.871Z
52,deferred,needs-review,js/sql-injection,error,high,routes/payments.js,137,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/52,2026-06-16T17:33:00.871Z
53,deferred,needs-review,js/sql-injection,error,high,routes/payments.js,147,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/53,2026-06-16T17:33:00.871Z
54,deferred,needs-review,js/sql-injection,error,high,routes/payments.js,153,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/54,2026-06-16T17:33:00.871Z
55,deferred,needs-review,js/sql-injection,error,high,services/authService.js,77,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/55,2026-06-16T17:33:00.871Z
56,deferred,needs-review,js/sql-injection,error,high,services/applicationService.js,138,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/56,2026-06-16T17:33:00.871Z
57,deferred,needs-review,js/sql-injection,error,high,services/applicationService.js,155,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/57,2026-06-16T17:33:00.871Z
58,deferred,needs-review,js/sql-injection,error,high,services/authService.js,151,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/58,2026-06-16T17:33:00.871Z
59,deferred,needs-review,js/sql-injection,error,high,services/applicationService.js,175,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/59,2026-06-16T17:33:00.871Z
60,deferred,needs-review,js/sql-injection,error,high,services/dutyService.js,124,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/60,2026-06-16T17:33:00.871Z
61,deferred,needs-review,js/sql-injection,error,high,services/doctorAccessService.js,62,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/61,2026-06-16T17:33:00.871Z
62,deferred,needs-review,js/sql-injection,error,high,services/doctorAccessService.js,68,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/62,2026-06-16T17:33:00.871Z
63,deferred,needs-review,js/sql-injection,error,high,services/doctorAccessService.js,105,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/63,2026-06-16T17:33:00.871Z
64,deferred,needs-review,js/sql-injection,error,high,services/calendarService.js,35,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/64,2026-06-16T17:33:00.871Z
65,deferred,needs-review,js/sql-injection,error,high,services/calendarService.js,137,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/65,2026-06-16T17:33:00.871Z
66,deferred,needs-review,js/sql-injection,error,high,services/calendarService.js,248,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/66,2026-06-16T17:33:00.871Z
67,deferred,needs-review,js/sql-injection,error,high,services/bookingService.js,80,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/67,2026-06-16T17:33:00.871Z
68,deferred,needs-review,js/sql-injection,error,high,services/bookingService.js,297,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/68,2026-06-16T17:33:00.871Z
69,deferred,needs-review,js/sql-injection,error,high,services/healthMetricService.js,148,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/69,2026-06-16T17:33:00.871Z
70,deferred,needs-review,js/sql-injection,error,high,services/healthMetricService.js,154,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/70,2026-06-16T17:33:00.871Z
71,deferred,needs-review,js/sql-injection,error,high,services/healthIntakeService.js,265,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/71,2026-06-16T17:33:00.871Z
72,deferred,needs-review,js/sql-injection,error,high,services/healthRecordService.js,426,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/72,2026-06-16T17:33:00.871Z
73,deferred,needs-review,js/sql-injection,error,high,services/mobileDeviceService.js,6,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/73,2026-06-16T17:33:00.871Z
74,deferred,needs-review,js/sql-injection,error,high,services/mobileDeviceService.js,7,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/74,2026-06-16T17:33:00.871Z
75,deferred,needs-review,js/sql-injection,error,high,services/mobileDeviceService.js,18,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/75,2026-06-16T17:33:00.871Z
76,deferred,needs-review,js/sql-injection,error,high,services/mobileDeviceService.js,31,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/76,2026-06-16T17:33:00.871Z
77,deferred,needs-review,js/sql-injection,error,high,services/investigationReportService.js,268,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/77,2026-06-16T17:33:00.871Z
78,deferred,needs-review,js/sql-injection,error,high,services/investigationReportService.js,282,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/78,2026-06-16T17:33:00.871Z
79,deferred,needs-review,js/sql-injection,error,high,services/investigationReportService.js,534,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/79,2026-06-16T17:33:00.871Z
80,deferred,needs-review,js/sql-injection,error,high,services/patient-booking-service/src/services/bookingService.js,34,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/80,2026-06-16T17:33:00.871Z
81,deferred,needs-review,js/sql-injection,error,high,services/patient-booking-service/src/services/bookingService.js,125,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/81,2026-06-16T17:33:00.871Z
82,deferred,needs-review,js/sql-injection,error,high,services/patient-booking-service/src/services/bookingService.js,130,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/82,2026-06-16T17:33:00.871Z
83,deferred,needs-review,js/sql-injection,error,high,services/patient-booking-service/src/services/serviceCatalogService.js,37,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/83,2026-06-16T17:33:00.871Z
84,deferred,needs-review,js/sql-injection,error,high,services/patient-booking-service/src/services/patientService.js,64,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/84,2026-06-16T17:33:00.871Z
85,deferred,needs-review,js/sql-injection,error,high,services/patient-booking-service/src/services/patientService.js,135,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/85,2026-06-16T17:33:00.871Z
86,deferred,needs-review,js/sql-injection,error,high,services/patientService.js,23,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/86,2026-06-16T17:33:00.871Z
87,deferred,needs-review,js/sql-injection,error,high,services/patientService.js,33,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/87,2026-06-16T17:33:00.871Z
88,deferred,needs-review,js/sql-injection,error,high,services/patientService.js,99,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/88,2026-06-16T17:33:00.871Z
89,deferred,needs-review,js/sql-injection,error,high,services/patientDashboardService.js,210,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/89,2026-06-16T17:33:00.871Z
90,deferred,needs-review,js/sql-injection,error,high,services/patientDashboardService.js,216,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/90,2026-06-16T17:33:00.871Z
91,deferred,needs-review,js/sql-injection,error,high,services/paymentService.js,53,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/91,2026-06-16T17:33:00.871Z
92,deferred,needs-review,js/sql-injection,error,high,services/paymentService.js,132,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/92,2026-06-16T17:33:00.871Z
93,deferred,needs-review,js/sql-injection,error,high,services/paymentService.js,166,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/93,2026-06-16T17:33:00.871Z
94,deferred,needs-review,js/sql-injection,error,high,services/paymentService.js,213,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/94,2026-06-16T17:33:00.871Z
95,deferred,needs-review,js/sql-injection,error,high,services/paymentService.js,340,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/95,2026-06-16T17:33:00.871Z
96,deferred,needs-review,js/biased-cryptographic-random,warning,high,scripts/rotate-secrets.js,53,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/96,2026-06-16T17:33:00.870Z
97,deferred,needs-review,js/biased-cryptographic-random,warning,high,scripts/setup-mongodb-security.js,48,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/97,2026-06-16T17:33:00.871Z
98,deferred,needs-review,js/file-system-race,warning,high,scripts/setup-env.js,86,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/98,2026-06-16T17:33:00.871Z
99,deferred,needs-review,js/file-system-race,warning,high,scripts/setup-mongodb-security.js,175,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/99,2026-06-16T17:33:00.871Z
100,deferred,needs-review,js/user-controlled-bypass,error,high,controllers/patientController.js,183,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/100,2026-06-16T17:33:00.871Z
101,deferred,needs-review,js/user-controlled-bypass,error,high,controllers/paymentController.js,56,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/101,2026-06-16T17:33:00.871Z
102,deferred,needs-review,js/user-controlled-bypass,error,high,controllers/paymentController.js,56,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/102,2026-06-16T17:33:00.871Z
103,deferred,needs-review,js/user-controlled-bypass,error,high,controllers/paymentController.js,56,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/103,2026-06-16T17:33:00.871Z
104,deferred,needs-review,js/user-controlled-bypass,error,high,controllers/paymentController.js,56,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/104,2026-06-16T17:33:00.871Z
105,deferred,needs-review,js/user-controlled-bypass,error,high,middleware/auth.js,26,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/105,2026-06-16T17:33:00.871Z
106,deferred,needs-review,js/user-controlled-bypass,error,high,middleware/patientAuth.js,33,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/106,2026-06-16T17:33:00.871Z
107,deferred,needs-review,js/user-controlled-bypass,error,high,middleware/patientAuth.js,112,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/107,2026-06-16T17:33:00.871Z
108,deferred,needs-review,js/user-controlled-bypass,error,high,packages/shared/src/middleware/auth.middleware.js,25,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/108,2026-06-16T17:33:00.871Z
109,deferred,needs-review,js/user-controlled-bypass,error,high,services/patient-booking-service/src/api/controllers/patientController.js,21,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/109,2026-06-16T17:33:00.871Z
110,deferred,needs-review,js/user-controlled-bypass,error,high,services/patient-booking-service/src/api/controllers/patientController.js,21,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/110,2026-06-16T17:33:00.871Z
111,deferred,needs-review,js/user-controlled-bypass,error,high,services/patient-booking-service/src/api/controllers/patientController.js,21,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/111,2026-06-16T17:33:00.871Z
112,deferred,needs-review,js/user-controlled-bypass,error,high,services/patient-booking-service/src/api/controllers/patientController.js,21,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/112,2026-06-16T17:33:00.871Z
113,deferred,needs-review,js/user-controlled-bypass,error,high,services/patient-booking-service/src/api/controllers/patientController.js,55,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/113,2026-06-16T17:33:00.871Z
114,deferred,needs-review,js/user-controlled-bypass,error,high,services/patient-booking-service/src/api/controllers/patientController.js,55,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/114,2026-06-16T17:33:00.871Z
115,deferred,needs-review,js/missing-origin-check,warning,medium,client/public/service-worker.js,412,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/115,2026-06-16T17:33:00.871Z
116,deferred,needs-review,js/regex/missing-regexp-anchor,warning,high,tests/unit/authorization/k8s-security.test.js,47,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/116,2026-06-16T17:33:00.871Z
117,deferred,needs-review,js/log-injection,error,medium,test-compression.js,47,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/117,2026-06-16T17:33:00.871Z
118,deferred,needs-review,js/log-injection,error,medium,test-compression.js,82,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/118,2026-06-16T17:33:00.871Z
119,deferred,needs-review,js/indirect-command-line-injection,warning,medium,scripts/backup-database.js,52,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/119,2026-06-16T17:33:00.871Z
120,deferred,needs-review,js/indirect-command-line-injection,warning,medium,scripts/backup-database.js,109,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/120,2026-06-16T17:33:00.871Z
121,deferred,needs-review,js/remote-property-injection,warning,high,middleware/validation.js,137,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/121,2026-06-16T17:33:00.871Z
122,deferred,needs-review,js/remote-property-injection,warning,high,middleware/validation.js,139,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/122,2026-06-16T17:33:00.871Z
123,deferred,needs-review,js/remote-property-injection,warning,high,middleware/validation.js,141,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/123,2026-06-16T17:33:00.871Z
124,deferred,needs-review,js/remote-property-injection,warning,high,routes/uploads.js,327,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/124,2026-06-16T17:33:00.871Z
125,deferred,needs-review,js/remote-property-injection,warning,high,utils/pagination.js,205,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/125,2026-06-16T17:33:00.871Z
126,deferred,needs-review,js/remote-property-injection,warning,high,utils/pagination.js,207,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/126,2026-06-16T17:33:00.871Z
127,deferred,needs-review,js/remote-property-injection,warning,high,utils/sanitization.js,106,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/127,2026-06-16T17:33:00.871Z
128,deferred,needs-review,js/remote-property-injection,warning,high,utils/sanitization.js,114,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/128,2026-06-16T17:33:00.871Z
129,deferred,needs-review,js/remote-property-injection,warning,high,utils/sanitization.js,121,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/129,2026-06-16T17:33:00.871Z
130,deferred,needs-review,js/remote-property-injection,warning,high,utils/sanitization.js,148,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/130,2026-06-16T17:33:00.871Z
131,deferred,needs-review,js/superfluous-trailing-arguments,warning,,client/public/js/admin-analytics.js,83,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/131,2026-06-16T17:33:00.871Z
132,deferred,needs-review,js/superfluous-trailing-arguments,warning,,client/public/js/admin-analytics.js,97,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/132,2026-06-16T17:33:00.871Z
133,deferred,needs-review,js/superfluous-trailing-arguments,warning,,client/public/js/patient-analytics.js,400,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/133,2026-06-16T17:33:00.871Z
134,deferred,needs-review,js/superfluous-trailing-arguments,warning,,client/public/js/patient-analytics.js,453,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/134,2026-06-16T17:33:00.871Z
